_id;country;utility name;utility code;utility ID;year;Type of connection;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
1;country;utility name;utility code;utility ID;year;Type of connection; Total number of connections (residential and non-residential) in the utility area;Total Number of residential connections in the utility area;Total electricity sold per year (MWh);Length of distribution network (km) ;Total number of employees ;Average wholesale price paid per MWh (local nominal currency);Average transmission charges per MWh purchased (local nominal currency);OPEX (operation expenditures) of the distribution services (local nominal currency);CAPEX (captial expenditures) of the distribution services (local nominal currency) ;TOTEX (total expenditures) of the distribution network (local nominal currency);Energy losses in distribution per year (due to technical losses and illegal connections) %;Energy losses in distribution per year due to technical losses %;Energy losses in distribution per year due to non-technical losses (illegal connections) %;Average duration of interruptions per subscriber (hours/year);Average frequency of interruptions per subscriber (# interruptions / year);Number of residential subscribers per 100 households in the concession area (Residential coverage) # / 100 households;Number of customer complaints per year;Average duration between customer complaint and the solution of the problem (hours);Average residential tariff (local nominal currency / MWh);Average industrial tariff (local nominal currency / MWh);Installation Cost (residential) local nominal currency;Installation Cost (Industrial) local nominal currency;Year of privatization;Residencial conexions per employee;Energy sold per employee
2;country;name;code;id_conce;year;typ_conc;n_con;n_rd_con;mwh_sold;length_net;n_wrks;whosale_price_p;transm_chrs_p;opex;capex;totex;d_losses;d_losses_t;d_losses_c;dur_interr;freq_interr;coverage;complains;dur_problem;avg_rd_tariff_p;avg_in_tariff_p;inst_rd_price_p;inst_in_price_p;d_priv;rd_cn_wkr;mwh_wkr
3;Ecuador;EMPRESA ELECTRICA LOS RIOS S.A.;LOS RIOS;201001;1994;Elec - Distribution;;;;;;;;;;;0.246391955;;;;;;;;;;;;0;;
4;Ecuador;EMPRESA ELECTRICA LOS RIOS S.A.;LOS RIOS;201001;1995;Elec - Distribution;4.293.683.333;3.694.916.667;118861.9;;;1.289.702.588;;;;;0.248840986;;;;;;;;4.985.647.636;1.735.030.265;;;0;;
5;Ecuador;EMPRESA ELECTRICA LOS RIOS S.A.;LOS RIOS;201001;1996;Elec - Distribution;4.612.191.667;40018.5;124118.5;;;1.222.161.563;;;;;0.246484777;;;;;;;;7.285.148.198;1.816.219.628;;;0;;
6;Ecuador;EMPRESA ELECTRICA LOS RIOS S.A.;LOS RIOS;201001;1997;Elec - Distribution;5.046.158.333;4.385.358.333;134097.2;;;2.852.203.775;;;;;0.256773699;;;;;;;;2.891.591.355;277.406.999;;;0;;
7;Ecuador;EMPRESA ELECTRICA LOS RIOS S.A.;LOS RIOS;201001;1998;Elec - Distribution;5.229.333.333;4.585.483.333;146304.8;;;2.931.777.768;;;;;0.246589811;;;;;;;;2.985.768.958;295.955.862;;;0;;
8;Ecuador;EMPRESA ELECTRICA LOS RIOS S.A.;LOS RIOS;201001;1999;Elec - Distribution;5.511.066.667;48250.5;147.138.714;2009.88;306;6.042.326.255;;26284200000;;;0.258662207;;;;;;;;621.357.096;5.053.757.335;1.344.355.773;;0;1.576.813.725;4.808.454.706
9;Ecuador;EMPRESA ELECTRICA LOS RIOS S.A.;LOS RIOS;201001;2000;Elec - Distribution;57294;50248;1.528.042.628;2150.2;;4.030.599.206;4.028.205.515;1705911;2399606;4105517;0.228533962;0.029092373;0.199441588;;;;;;3.811.817.265;4.292.757.989;8.958.075.022;;0;;
10;Ecuador;EMPRESA ELECTRICA LOS RIOS S.A.;LOS RIOS;201001;2001;Elec - Distribution;6.036.683.333;5.316.366.667;1.384.571.099;2.406.532;;701.744.101;4.823.196.536;1705911;2778499;4484410;0.268748199;0.127300195;0.141448004;;;0.567800978;;;6.111.332.941;856.717.736;1.341.264.382;;0;;
